time,S,R,T,dose_u1
14.2,391140.055825155,66163.3633394893,457303.419164644,0
14.4,392296.690340104,66371.552042554,458668.242382658,0
14.6,393339.000076418,66559.1928167081,459898.192893126,0
14.8,394266.97402926,66726.2769084262,460993.250937686,0
15,395091.439379561,66874.7452689851,461966.184648546,0
15.2,395810.323956351,67004.2195466457,462814.543502997,0
15.4,396453.936407404,67120.1488048981,463574.085212302,0
15.6,397032.633438332,67224.3944827213,464257.027921053,0
15.8,397546.694405167,67317.0047826498,464863.699187817,0
16,398002.553906301,67399.1362708699,465401.690177171,0
16.2,398399.162544888,67470.5983106705,465869.760855558,0
16.4,398753.736356343,67534.4899668584,466288.226323201,0
16.6,399072.152224697,67591.8689829596,466664.021207656,0
16.8,399354.652708985,67642.7784211506,466997.431130135,0
17,399604.889020522,67687.8754613564,467292.764481878,0
17.2,399822.355620607,67727.068519823,467549.42414043,0
17.4,400015.602905831,67761.8977364931,467777.500642324,0
17.6,400187.123627818,67792.8120239406,467979.935651759,0
17.8,400339.340804241,67820.2478005482,468159.588604789,0
18,400474.415798104,67844.5944080029,468319.010206107,0
18.2,400594.148144124,67866.176025204,468460.324169328,0
18.4,400700.498906682,67885.3459599697,468585.844866652,0
18.6,400794.855292862,67902.3541501398,468697.209443002,0
18.8,400878.562939632,67917.4430630182,468796.00600265,0
19,400952.820236416,67930.8286490611,468883.648885478,0
19.2,401018.624203058,67942.6905766268,468961.314779685,0
19.4,401077.059568322,67953.2243287028,469030.283897025,0
19.6,401128.893197903,67962.5681101132,469091.461308016,0
19.8,401174.868145025,67970.8558399998,469145.723985025,0
20,401215.645570079,67978.2066827354,469193.852252815,0
20.2,401251.775309688,67984.719739684,469236.495049372,0
20.4,401283.85503337,67990.5027362147,469274.357769585,0
20.6,401312.307138209,67995.6318077238,469307.938945933,0
20.8,401337.540654782,68000.1806820966,469337.721336879,0
21,401359.919358172,68004.2149312957,469364.134289468,0
21.2,401379.745704005,68007.7890746354,469387.53477864,0
21.4,401397.348298533,68010.9623460403,469408.310644573,0
21.6,401412.959340354,68013.7766016445,469426.735941998,0
21.8,401426.803604955,68016.272360018,469443.075964973,0
22,401439.080945591,68018.4856476088,469457.5665932,0
22.2,401449.957506831,68020.4464145165,469470.403921347,0
22.4,401459.613749732,68022.187191852,469481.800941584,0
22.6,401468.177178796,68023.7309645654,469491.908143362,0
22.8,401475.771199705,68025.0999788797,469500.871178585,0
23,401482.505519487,68026.3140117015,469508.819531189,0
23.2,401488.471335002,68027.389503145,469515.860838147,0
23.4,401493.76768684,68028.3443073927,469522.111994233,0
23.6,401498.464548299,68029.1910386684,469527.655586967,0
23.8,401502.629636465,68029.9419045122,469532.571540977,0
24,401506.323146702,68030.6077565411,469536.930903244,0
24.2,401509.595116131,68031.1976151237,469540.792731255,0
24.4,401512.499881112,68031.7212756901,469544.221156802,0
24.6,401515.075829789,68032.1856586351,469547.261488424,0
24.8,401517.360110471,68032.5974608578,469549.957571329,0
25,401519.385743756,68032.9626351467,469552.348378903,0
